longitud;latitud;parametro;anio-mes-dia;valor
-3.712222;40.424167;86;2003-03-01;70.52
-3.712222;40.424167;86;2003-04-01;47.42
-3.712222;40.424167;86;2003-05-01;47.42
-3.712222;40.424167;86;2003-06-01;44.29
-3.712222;40.424167;86;2003-07-01;36.79
-3.712222;40.424167;86;2003-08-01;31.36
-3.712222;40.424167;86;2003-09-01;45.44
-3.712222;40.424167;86;2003-10-01;72.68
-3.712222;40.424167;86;2003-11-01;60.86
-3.712222;40.424167;86;2003-12-01;62.54
-3.712222;40.424167;89;2003-01-01;1.500
-3.712222;40.424167;89;2003-02-01;00.00
-3.712222;40.424167;89;2003-03-01;00.00
-3.712222;40.424167;89;2003-04-01;00.00
-3.712222;40.424167;89;2003-05-01;00.00
-3.712222;40.424167;89;2003-06-01;00.00
-3.712222;40.424167;89;2003-07-01;00.00
-3.712222;40.424167;89;2003-08-01;00.00
-3.712222;40.424167;89;2003-09-01;00.00
-3.712222;40.424167;89;2003-10-01;8.000
-3.712222;40.424167;89;2003-11-01;00.00
-3.712222;40.424167;89;2003-12-01;00.00
-3.711389;40.478333;01;2003-01-01;4.960
-3.711389;40.478333;01;2003-02-01;12.15
-3.711389;40.478333;01;2003-03-01;5.340
-3.711389;40.478333;01;2003-04-01;6.460
-3.711389;40.478333;01;2003-05-01;4.010
-3.711389;40.478333;01;2003-06-01;4.410
-3.711389;40.478333;01;2003-07-01;4.290
-3.711389;40.478333;01;2003-08-01;7.670
-3.711389;40.478333;01;2003-09-01;5.110
-3.711389;40.478333;01;2003-10-01;3.820
-3.711389;40.478333;01;2003-11-01;4.120
-3.711389;40.478333;01;2003-12-01;10.72
-3.711389;40.478333;06;2003-01-01;0.560
-3.711389;40.478333;06;2003-02-01;1.230
-3.711389;40.478333;06;2003-03-01;0.400
-3.711389;40.478333;06;2003-04-01;0.590
-3.711389;40.478333;06;2003-05-01;0.380
-3.711389;40.478333;06;2003-06-01;0.490
-3.711389;40.478333;06;2003-07-01;0.470
-3.711389;40.478333;06;2003-08-01;0.520
-3.711389;40.478333;06;2003-09-01;0.450
-3.711389;40.478333;06;2003-10-01;0.570
-3.711389;40.478333;06;2003-11-01;0.730
-3.711389;40.478333;06;2003-12-01;0.870
-3.711389;40.478333;08;2003-01-01;46.91
-3.711389;40.478333;08;2003-02-01;60.84
-3.711389;40.478333;08;2003-03-01;33.30
-3.711389;40.478333;08;2003-04-01;56.28
-3.711389;40.478333;08;2003-05-01;31.75
-3.711389;40.478333;08;2003-06-01;38.78
-3.711389;40.478333;08;2003-07-01;39.14
-3.711389;40.478333;08;2003-08-01;56.69
-3.711389;40.478333;08;2003-09-01;41.30
-3.711389;40.478333;08;2003-10-01;46.22
-3.711389;40.478333;08;2003-11-01;51.76
-3.711389;40.478333;08;2003-12-01;74.95
-3.711389;40.478333;10;2003-01-01;10.13
-3.711389;40.478333;10;2003-02-01;32.06
-3.711389;40.478333;10;2003-03-01;10.37
-3.711389;40.478333;10;2003-04-01;24.89
-3.711389;40.478333;10;2003-05-01;15.65
-3.711389;40.478333;10;2003-06-01;26.55
-3.711389;40.478333;10;2003-07-01;22.82
-3.711389;40.478333;10;2003-08-01;65.88
-3.711389;40.478333;10;2003-09-01;24.48
-3.711389;40.478333;10;2003-10-01;13.45
-3.711389;40.478333;10;2003-11-01;15.77
-3.711389;40.478333;10;2003-12-01;33.18
-3.711389;40.478333;12;2003-01-01;80.32
-3.711389;40.478333;12;2003-02-01;170.1
-3.711389;40.478333;12;2003-03-01;46.57
-3.711389;40.478333;12;2003-04-01;84.58
-3.711389;40.478333;12;2003-05-01;37.93
-3.711389;40.478333;12;2003-06-01;58.39
-3.711389;40.478333;12;2003-07-01;52.38
-3.711389;40.478333;12;2003-08-01;76.99
-3.711389;40.478333;12;2003-09-01;54.83
-3.711389;40.478333;12;2003-10-01;65.36
-3.711389;40.478333;12;2003-11-01;84.79
-3.711389;40.478333;12;2003-12-01;194.7
-3.711389;40.478333;14;2003-01-01;20.63
-3.711389;40.478333;14;2003-02-01;23.74
-3.711389;40.478333;14;2003-03-01;36.46
-3.711389;40.478333;14;2003-04-01;39.84
-3.711389;40.478333;14;2003-05-01;58.93
-3.711389;40.478333;14;2003-06-01;41.05
-3.711389;40.478333;14;2003-07-01;57.30
-3.711389;40.478333;14;2003-08-01;79.42
-3.711389;40.478333;14;2003-09-01;50.39
-3.711389;40.478333;14;2003-10-01;28.48
-3.711389;40.478333;14;2003-11-01;21.02
-3.711389;40.478333;14;2003-12-01;10.31
-3.711389;40.478333;89;2003-01-01;1.000
-3.711389;40.478333;89;2003-02-01;00.00
-3.711389;40.478333;89;2003-03-01;00.00
-3.711389;40.478333;89;2003-04-01;00.00
-3.711389;40.478333;89;2003-05-01;00.00
-3.711389;40.478333;89;2003-06-01;00.00
-3.711389;40.478333;89;2003-07-01;00.00
-3.711389;40.478333;89;2003-08-01;00.00
-3.711389;40.478333;89;2003-09-01;00.00
-3.711389;40.478333;89;2003-10-01;10.50
-3.711389;40.478333;89;2003-11-01;00.00
-3.711389;40.478333;89;2003-12-01;00.00
-3.690833;40.437778;01;2003-02-01;18.52
-3.690833;40.437778;01;2003-03-01;25.99
-3.690833;40.437778;01;2003-04-01;19.51
-3.690833;40.437778;01;2003-05-01;9.630
-3.690833;40.437778;01;2003-06-01;9.980
-3.690833;40.437778;01;2003-07-01;3.860
-3.690833;40.437778;01;2003-08-01;10.18
-3.690833;40.437778;01;2003-09-01;6.830
-3.690833;40.437778;01;2003-10-01;7.570
-3.690833;40.437778;01;2003-11-01;23.28
-3.690833;40.437778;01;2003-12-01;30.40
-3.690833;40.437778;06;2003-02-01;1.030
-3.690833;40.437778;06;2003-03-01;0.670
-3.690833;40.437778;06;2003-04-01;0.990
-3.690833;40.437778;06;2003-05-01;0.670
-3.690833;40.437778;06;2003-06-01;0.770
-3.690833;40.437778;06;2003-07-01;0.800
-3.690833;40.437778;06;2003-08-01;1.020
-3.690833;40.437778;06;2003-09-01;0.780
-3.690833;40.437778;06;2003-10-01;1.210
-3.690833;40.437778;06;2003-11-01;1.200
-3.690833;40.437778;06;2003-12-01;1.630
-3.690833;40.437778;08;2003-02-01;76.73
-3.690833;40.437778;08;2003-03-01;45.29
